x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89666.48976427523,43126.584451790106,0.0,0.0,0.0,-0.8506508083520399,0.5257311121191336,2.7777777777777777
89665.27944236464,43124.16380796892,0.0,0.0,0.0,-0.9216673852827808,0.38798096719555997,8.333333333333334
89663.79527693687,43122.64516355841,0.0,0.0,0.0,-0.9524932183117659,0.3045597955576125,8.333333333333334
89661.16758287894,43120.77338148976,0.0,0.0,0.0,-0.9544951223169419,0.29822652711180175,11.11111111111111
89658.1342882016,43118.67285395878,0.0,0.0,0.0,-0.9650642388197074,0.2620133869697095,11.11111111111111
89655.88160849406,43117.352317578494,0.0,0.0,0.0,-0.9644406497123836,0.2642995141545958,11.11111111111111
89653.78428600772,43116.10945980882,0.0,0.0,0.0,-0.9968720474833446,0.07903240440708108,11.11111111111111
89651.11237985396,43115.68312058246,0.0,0.0,0.0,0.9973425033548705,0.07285554887474377,11.11111111111111
89648.50747879225,43116.065736688084,0.0,0.0,0.0,0.9875214248422955,0.1574847150597242,11.11111111111111
89645.80352081626,43116.95066838931,0.0,0.0,0.0,0.9790195957653549,0.20376611864449176,13.88888888888889
89643.65674205957,43117.884762962836,0.0,0.0,0.0,0.9600536239270813,0.2798160809969262,13.88888888888889
89641.69173083964,43119.13653874544,0.0,0.0,0.0,0.953364153747149,0.3018224483864354,13.88888888888889
89640.27403838439,43120.134174176914,0.0,0.0,0.0,0.9200838864610333,0.3917213829685077,13.88888888888889
89638.96136018509,43121.499359504196,0.0,0.0,0.0,0.9163795852838117,0.4003104491205161,13.88888888888889
89637.77647253816,43122.7787056477,0.0,0.0,0.0,0.9163795852837809,0.4003104491205865,13.88888888888889
89636.0659278805,43124.6256138476,0.0,0.0,0.0,0.9163795852834827,0.4003104491212692,13.88888888888889
89634.75886026966,43126.03688006475,0.0,0.0,0.0,0.9163795852843253,0.40031044911934044,13.88888888888889
89633.21153165406,43127.70756074256,0.0,0.0,0.0,0.9163795852838131,0.4003104491205129,13.88888888888889
89629.33979180508,43131.88795325259,0.0,0.0,0.0,0.8755922333204551,0.4830509713776568,13.88888888888889
89626.36300673937,43136.60947070112,0.0,0.0,0.0,0.8755922333203474,0.48305097137785197,13.88888888888889
